VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	DATAYEAR	ID	DEDUP_SUFFIX	COMPOSITE_ID	reason_of_removal
080	000100	2022012	1000001008	00665169	45317054	Komerční banka, a.s.	Ú	výstavba kanalizace	CZK	0	20120328	20320131	zástava namovitosti	4000000.00 	4000000.00 	2126600.00 	29312.56 	2022	00665169-45317054-20120328-20320131-4000000	0baff4e5-8c118f2a	00665169-45317054-20120328-20320131-4000000-0baff4e5-8c118f2a-2022	DEDUP_POPULATED
080	000100	2022012	1000001008	00665169	45317054	Komerční banka, a.s.	Ú	výstavba vodovodu	CZK	0	20120328	20320131	zástava nemovitosti	4000000.00 	4000000.00 	2126600.00 	29312.56 	2022	00665169-45317054-20120328-20320131-4000000	0baff4e5-9f1c4a22	00665169-45317054-20120328-20320131-4000000-0baff4e5-9f1c4a22-2022	DEDUP_POPULATED
080	000100	2022012	1000001565	00238252	45244782	Česká spořitelna, a.s.	Ú	výstavba bytového domu I	CZK	2,46%	20051230	20241220	zástavní právo	7500000.00 	7500000.00 	6720000.00 	1432811.30 	2022	00238252-45244782-20051230-20241220-7500000	1e97a56a-a05ba67d	00238252-45244782-20051230-20241220-7500000-1e97a56a-a05ba67d-2022	DEDUP_POPULATED
080	000100	2022012	1000001565	00238252	45244782	Česká spořitelna, a.s.	Ú	výstavba bytového domu J	CZK	2,46%	20051230	20241220	zástavní právo	7500000.00 	7500000.00 	6720000.00 	1431565.30 	2022	00238252-45244782-20051230-20241220-7500000	1e97a56a-ba2bbdf9	00238252-45244782-20051230-20241220-7500000-1e97a56a-ba2bbdf9-2022	DEDUP_POPULATED
080	000100	2022012	1000001565	00238252	45244782	Česká spořitelna, a.s.	Ú	výstavba bytového domu K	CZK	2,46%	20051230	20241220	zástavní právo	7500000.00 	7500000.00 	6720000.00 	1416843.30 	2022	00238252-45244782-20051230-20241220-7500000	1e97a56a-bb49efd4	00238252-45244782-20051230-20241220-7500000-1e97a56a-bb49efd4-2022	DEDUP_POPULATED
080	000100	2022012	1000001565	00238252	45244782	Česká spořitelna, a.s.	Ú	výstavba bytového domu L	CZK	2,46%	20051230	20241220	zástavní právo	7500000.00 	7500000.00 	6720000.00 	1418779.30 	2022	00238252-45244782-20051230-20241220-7500000	1e97a56a-5cf99de7	00238252-45244782-20051230-20241220-7500000-1e97a56a-5cf99de7-2022	DEDUP_POPULATED
080	000100	2022012	1000002953	00244791	65050541	Sdružení měst a obcí Bukovská voda	Z	rekonstrukce kanalizace v ul.J.Koláře, Dolní Bukovsko	CZK	0	20220630	20311031	-	5000000.00 	5000000.00 	500000.00 	0.00 	2022	00244791-65050541-20220630-20311031-5000000	13612b38-b91d08fe	00244791-65050541-20220630-20311031-5000000-13612b38-b91d08fe-2022	DEDUP_POPULATED
080	000100	2022012	1000002953	00244791	65050541	Sdružení měst a obcí Bukovská voda	Z	rekonstrukce vodovodu v ul.J.Koláře, Dolní Bukovsko	CZK	0	20220630	20311031	-	5000000.00 	5000000.00 	500000.00 	0.00 	2022	00244791-65050541-20220630-20311031-5000000	13612b38-72664f4c	00244791-65050541-20220630-20311031-5000000-13612b38-72664f4c-2022	DEDUP_POPULATED
080	000100	2022012	1000003331	00246492	44848943	Národní rozvojová banka, a.s.	Ú	Nákup manipulátoru pro kompostárnu v Dešné	CZK	bezúročná	20151118	20251010	0	2000000.00 	2000000.00 	1400000.00 	0.00 	2022	00246492-44848943-20151118-20251010-2000000	bb28b807-296c762f	00246492-44848943-20151118-20251010-2000000-bb28b807-296c762f-2022	DEDUP_POPULATED
080	000100	2022012	1000003331	00246492	44848943	Národní rozvojová banka, a.s.	Ú	Revitalizace zeleně obce Dešná, a to místních částí Hluboká, Chvalkovice, Dančovice, Rancířov	CZK	bezúročná	20151118	20251010	0	2000000.00 	2000000.00 	1400000.00 	0.00 	2022	00246492-44848943-20151118-20251010-2000000	bb28b807-f815ad5d	00246492-44848943-20151118-20251010-2000000-bb28b807-f815ad5d-2022	DEDUP_POPULATED
